Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
TM00067,JAX,P0,X,"10,12",11,"10,11",15,"14,15","29,32.2","18,25","15,17","9,10","9,10","11,13","23,25","8,9.3",8,"15,17",,
TM00068,JAX,P1,"X,Y",12,12,"9,10","14,17","12,14",33.2,"21,25","17,18","11,12","8,11","14,15","22,26","7,9.3","9,11","16,17",,
TM00070,JAX,P1,X,,11,"11,12",12,"12,14","29,33.2",,"15,18",12,,13,"21,25","6,9",8,"18,19",,
TM00071,JAX,P1,"X,Y","10,12",13,"9,11",15,"13,15.2","32.2,34.2","20,25","15,17","12,15","8,10","13,15","20,25","6,9","8,11","17,19",,
TM00072,JAX,P1,X,12,12,10,"17,18","13,16,17","30,32.2","19,25","16,17","11,12","11,12","11,12","21,25","6,7","8,9",16,,
TM00073,JAX,P0,X,"10,11","8,10","11,13","12,15","13,15",`,"17,23","15,16","11,12",11,"14,17","19,21","7,9","9,11","14,20",,
TM00074,JAX,P0,"X,Y","11,12","11,13","9,11","14,16","13,15",30,"18,24","16,19","11,13","10,12","13,14","21,25","7,9.3",10,"17,21",,
TM00075,JAX,P1,X,"10,12",11,"10,11",15,15,29,"18,25","15,17","9,10","9,10","11,13","23,25","8,9.3",8,"15,17",,
TM00076,JAX,P1,X,"11,13",11,"11,13","12,18",15,"29,30","22,23","14,15",12,"8,11","10,16","19,27","9,9.3","9,11",18,,
TM00077,JAX,P0,X,"10,12","11,12","10,11","14,16","14,15.2",30,"24,25",14,"10,12",11,"11,15",23,9.3,"8,10",16,,
TM00078,JAX,P0,X,13,"11,13",,,"15,16.2",,,"14,17",,,"12,14",,9.3,"8,10",,,
TM00079,JAX,P1,X,"10,12","12,14","11,12","10,15",14,"28,30","23,25","15,16","11,12","11,12","10,16","19,23","7,9.3",8,"17,20",,
TM00080,JAX,P1,X,"11,12",13,"13,14",12,14,"28,31.2","17,22","16,18","10,12","8,10","10,14","19,23","8,9.3",8,17,,
TM00084,JAX,P1,"X,Y","11,12","10,13","9,12","15,18","13,14","27,29","24,25","17,18","11,12","10,11",13,"20,22","8,9","8,9","14,16",,
TM00089,JAX,P0,X,12,12,"11,12",21,"13,14",30,19,15,13,8,11,24,7,"8,12","14,16",,
TM00090,JAX,P0,X,11,9,12,"12,18","12,13","28,30",18,15,11,"10,11",16,26,9.3,9,"16,19",,
TM00091,JAX,P0,X,11,13,12,"13,16","12,13","28,30.2",25,16,12,12,"13,14",22,9.3,8,17,,
TM00093,JAX,P0,X,10,8,"11,12",14,13,27,"24,25",16,12,"11,13","14,15",23,9.3,"9,11",18,,
TM00095,JAX,P2,,,,,,,,,,,,,,,,,,
TM00096,JAX,P0,X,12,11,"11,12",18,"14,15.2",29,"17,24","15,17",11,"9,10","10,12",23,7,11,16,,
TM00097,JAX,P0,X,12,8,11,14,"12,13",30,"17,19",17,11,10,12,20,6,8,16,,
TM00098,JAX,P0,X,11,"11,12","9,11",12,"13,14.2","29,30",20,17,12,11,"14,15",19,7,8,"16,17",,
TM00099,JAX,P0,X,9,11,11,14,"14.2,15",32,"16,20",17,10,10,15,25,9,8,17,,
TM00103,JAX,P1,X,"10,12",,"9,11","12,13","14,16",29,24,"16,17",12,"8,10",11,22,9.3,11,17,,
TM00107,JAX,P0,X,"11,12",11,"9,12","15,16",15,"29,30","22,23",18,"11,12",11,"12,14","19,21","8,9",8,"15,17",,
TM00112,JAX,P1,X,11,12,11,18,14,31.2,"18,24",16,13,"8,11","11,12","20,21",9,8,16,,
TM00113,JAX,P1,X,12,12,9,14,"14,16",30,19,17,12,8,"14,16",22,6,"8,11","14,17",,
TM00129,JAX,P1,X,11,11,11,"18,20","13,14","29,30","19,24","14,19","11,13","10,11","14,15","22,23",6,11,"14,15",,
TM00134,JAX,P0,X,"11,12",12,"9,11","12,14","12,15","28,33.2","17,19","16,17",13,12,"12,13","20,21","6,9.3","8,12",17,,
TM00135,JAX,P0,X,"9,12",10,"12,13","13,21",15,"29,30","21,23","17,18",12,9,"10,14","20,22","8,9.3",8,"17,18",,
TM00136,JAX,P1,"X,Y",10,11,"9,11",16,"13,14","30,31.2",24,"16,18","11,13",11,"12,15","20,24","6,9","8,11",16,,
TM00137,JAX,P0,"X,Y","11,12",11,"11,12","13,18","12,13","28,30",25,"16,17",11,"8,12","8,10",24,"7,9.3","9,11","16,17",,
TM00139,JAX,P0,"X,Y",11,11,11,16,12,"29,31.2","20,21","16,18",13,11,"10,12",23,"7,9","8,12","19,20",,
TM00141,JAX,P0,X,"12,13","8,11",13,"12,17","13,14","30,30.2","23,25","11,16","13,14","8,11","14,15","21,23","7,8",11,"18,19",,
TM00142,JAX,P0,X,"9,15","8,11","9,13","14,15,17",14,"29,30","17,23","16,17,18",12,"8,10",13,"19,22","7,9.3","8,9","16,17",,
TM00143,JAX,P0,X,"9,11","10,11","9,14","13,14","13,13.2","30,33.2",16,"14,18",12,"8,11",12,"19,22","7,9",8,"16,17",,
TM00157,JAX,P0,"X,Y","10,11","11,12","11,12",12,15,"28,32.2","20,25",16,"12,13",10,"13,15","22,23","8,9.3","8,9",17,,
TM00161,JAX,P2,X,"11,13","11,12",13,"14,19","12,14","30,32.2","20,23","15,17",11,11,"13,14","21,23","9,9.3","8,10","17,19",,
TM00162,JAX,P0,X,"10,12",13,"12,13","12,16",14,28,"18,21","15,17",11,"11,14","12,13","21,22",9.3,9,"14,17",,
TM00164,JAX,P0,"X,Y",13,"10,11","10,13",12,"13,13.2","30,30.2","22,23","16,17",11,"8,9","11,14",23,"7,9","9,10","15,18",,
TM00165,JAX,P1,"X,Y","11,12",12,"9,13",17,13,29,"18,20",17,11,10,15,"20,25","6,8","8,9",17,,
TM00167,JAX,P1,X,"11,12","9,10","11,12","12,19","13,15","28,29,30","19,20","15,16","10,13","10,11","10,13","19,22","7,8","7,8","15,17",,
TM00170,JAX,P0,"X,Y",13,"10,12","11,14",14,"12,15","28,29","23,25",17,"12,","9,10","14,15",22,5,"11,12","14,16",,
TM00176,JAX,P0,X,"11,12","10,12","11,12",,"12,14",30,20,"14,15",11,"10,12","10,13","21,23","8,9",11,17,,
TM00178,JAX,P0,"X,Y","10,12",11,12,"17,22","12,15",31,"18,19","14,15",11,11,"12,13","20,23",7,8,15,,
TM00185,JAX,P0,X,11,"13,14",12,14,"12,13","28,29","16,20",15,12,"8,11","12,13",20,9.3,8,"15,19",,
